Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Daniel Menard,JPD,633,7.1,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Francis Theze,PDCH,599,6.8,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Edner Merizier,Alyans,551,6.2,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Ronald Dabrezil,Mochrenha,326,3.7,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Rénold Olivier,MNP,62,0.7,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,,,,,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,,,,,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,,,,,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,NORD,2006,Pierre Richard JADOTTE,Lespwa,"6,214",37,,,,
Elections to the Chamber of Deputies,,NORD,2006,Dufond D Saint Louis,MRN,"3,498",20.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Tholeme Joseph,Alyans,"2,451",14.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Faniel Dorlean,OPL,"1,610",9.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Fritz Pierre,RDNP,806,4.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jean Louis Innocent,Mochrenha,432,2.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,David A Olivier,MPH,316,1.9,,,,
Elections to the Chamber of Deputies,,NORD,2006,Vickson Severe,Modereh,302,1.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Rony Pierre Paul,Tet Ansanm,186,1.1,,,,
Elections to the Chamber of Deputies,,NORD,2006,Arold Carobert Prevalus,JPD,128,0.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,NORD,2006,Fred Damas,Lespwa,"15,099",30.1,"7,167",48.1,,
Elections to the Chamber of Deputies,,NORD,2006,Eddy Jean PIERRE,MRN,"6,722",13.4,"7,742",51.9,,
Elections to the Chamber of Deputies,,NORD,2006,Osé Fils-Aimé,Lavalas,"3,926",7.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Evans Bastien,Alyans,"3,670",7.3,,,,
Elections to the Chamber of Deputies,,NORD,2006,Agousta Benoit,Mochrenha,"3,451",6.9,,,,
Elections to the Chamber of Deputies,,NORD,2006,F Manfred Antoine,Fusion,"2,991",6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Bedesir Telfort,MPH,"1,899",3.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Pierre Baptiste,Modereh,"1,846",3.7,,,,
Elections to the Chamber of Deputies,,NORD,2006,Guito Laguerre,OPL,"1,735",3.5,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jacques P François,Tet Ansanm,"1,597",3.2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Catelene Joseph,MNP,"1,565",3.1,,,,
Elections to the Chamber of Deputies,,NORD,2006,Wales Gauthier,MUP,"1,419",2.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Léonel Joseph,PNDPH,738,1.5,,,,
Elections to the Chamber of Deputies,,NORD,2006,Brigitte Benjamin,JPD,700,1.4,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,GRANDE RIVIERE DU NORD - BAHON,NORD,2006,Clébert DORVIL,OPL,"3,927",32.6,"5,269",60.5,,
Elections to the Chamber of Deputies,,NORD,2006,Ocinjac Bejamin,Alyans,"2,670",22.2,"3,446",39.5,,
Elections to the Chamber of Deputies,,NORD,2006,Joseph Connell Saint-Vil,GFCD,"2,181",18.1,,,,
Elections to the Chamber of Deputies,,NORD,2006,Weslly Deshommes,Lavalas,"1,007",8.4,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jn Hervé Jasmin,Unité,918,7.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Andre Eugene,Tet Ansanm,476,4,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,NORD,2006,Jobes J Michel,OPL,"4,661",32.4,"6,671",42.4,,
Elections to the Chamber of Deputies,,NORD,2006,Lorius JOSEPH,JPD,"3,418",23.8,"9,057",57.6,,
Elections to the Chamber of Deputies,,NORD,2006,Rodney Charles,RDNP,"2,750",19.1,,,,
Elections to the Chamber of Deputies,,NORD,2006,Cineus Floreal,Alyans,997,6.9,,,,
Elections to the Chamber of Deputies,,NORD,2006,Raoul Leconte Pierre,GFCD,891,6.2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Emmanuel Jean Baptiste,Lavalas,868,6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Gedeon Gedeus,Modereh,197,1.4,,,,
Elections to the Chamber of Deputies,,NORD,2006,Smith Gilbert Gauthier,MPH,128,0.9,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,NORD,2006,Philemon Jean,Mochrenha,"2,541",12.7,"4,429",39.9,,
Elections to the Chamber of Deputies,,NORD,2006,Felius LUBIN,Unité,"2,325",11.6,"6,680",60.1,,
Elections to the Chamber of Deputies,,NORD,2006,Ervé Ulysse,Fusion,"1,958",9.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jean Osner Petit Papa,JPD,"1,878",9.4,,,,
Elections to the Chamber of Deputies,,NORD,2006,Lucien Louis,Lespwa,"1,851",9.2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Dumesle Codio,OPL,"1,640",8.2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jude L Loriston,Konba,"1,481",7.4,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jean Roody Pierre Paul,Lavalas,"1,427",7.1,,,,
Elections to the Chamber of Deputies,,NORD,2006,William Noel,FRN,931,4.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Pierre Darwins Charles,Alyans,931,4.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Patrick Ogena Eugene,RDNP,848,4.2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Ronald Cadet,Tet Ansanm,748,3.7,,,,
Elections to the Chamber of Deputies,,NORD,2006,Moise Cadet,Modereh,439,2.2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jean Rhub Almetus,MPH,228,1.1,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,NORD,2006,Gluck Theophile,MRN,"5,155",38.6,"4,734",48,,
Elections to the Chamber of Deputies,,NORD,2006,Hugue CELESTIN,Lespwa,"4,579",34.3,"5,131",52,,
Elections to the Chamber of Deputies,,NORD,2006,Calourdes Phenelus,Alyans,728,5.5,,,,
Elections to the Chamber of Deputies,,NORD,2006,Luc Killick Manigat,Modereh,539,4,,,,
Elections to the Chamber of Deputies,,NORD,2006,Ramses Jean,OPL,486,3.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Antonio Etienne,Fusion,384,2.9,,,,
Elections to the Chamber of Deputies,,NORD,2006,Hubbert Michel,MPH,320,2.4,,,,
Elections to the Chamber of Deputies,,NORD,2006,Joseph Calixte,RDNP,239,1.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Daniel R Jean Baptiste,Reparen,221,1.7,,,,
Elections to the Chamber of Deputies,,NORD,2006,Wismique Jean François,MUP,179,1.3,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,PILATE,NORD,2006,Georges ESPADY,Lespwa,"2,996",33.2,"4,328",55.6,,
Elections to the Chamber of Deputies,,NORD,2006,Worms Perilus,OPL,"1,284",14.2,"3,461",44.4,,
Elections to the Chamber of Deputies,,NORD,2006,Lorcius Fleurimond,Lavalas,"1,113",12.3,,,,
Elections to the Chamber of Deputies,,NORD,2006,Michelin Saintilus,Konba,931,10.3,,,,
Elections to the Chamber of Deputies,,NORD,2006,Yvon Marcelin,Alyans,624,6.9,,,,
Elections to the Chamber of Deputies,,NORD,2006,Seradieu Duverge,Tet Ansanm,553,6.1,,,,
Elections to the Chamber of Deputies,,NORD,2006,Geffrard Edouard,Fusion,504,5.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Celony Silfin,MPH,255,2.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Japhet Saintilus,RDNP,222,2.5,,,,
Elections to the Chamber of Deputies,,NORD,2006,Onlonia Noel,Reparen,161,1.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,NORD,2006,Claude Lesly PIERRE,Alyans,"4,912",32.2,"10,082",57.4,,
Elections to the Chamber of Deputies,,NORD,2006,Marie Jossie Etienne,PLH,"2,685",17.6,"7,472",42.6,,
Elections to the Chamber of Deputies,,NORD,2006,Dikel Delvariste,Fusion,"2,568",16.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Roland Toussaint,Lespwa,"1,526",10,,,,
Elections to the Chamber of Deputies,,NORD,2006,Annot Pierre Louis,Lavalas,"1,122",7.4,,,,
Elections to the Chamber of Deputies,,NORD,2006,Arold Samson,RDNP,532,3.5,,,,
Elections to the Chamber of Deputies,,NORD,2006,David Mondesir,Frontciph,467,3.1,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jocelyn Gedeon,OPL,404,2.7,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jacquelin Monpremier,Mochrenha,340,2.2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Claude Eugene,Tet Ansanm,199,1.3,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,PLAISANCE,NORD,2006,Alcide AUDNE,Lespwa,"3,820",35.1,"4,451",50.6,,
Elections to the Chamber of Deputies,,NORD,2006,Lemoine Bonneau,OPL,"2,336",21.5,"4,348",49.4,,
Elections to the Chamber of Deputies,,NORD,2006,Rénaud Jean Baptiste,Mochrenha,"1,588",14.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Kerby Joseph,Tet Ansanm,600,5.5,,,,
Elections to the Chamber of Deputies,,NORD,2006,Henry Pierre,,564,5.2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Marie Mana Jolissaint,Lavalas,497,4.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Guy Fils-Aimé,Union,486,4.5,,,,
Elections to the Chamber of Deputies,,NORD,2006,Maximin Pierre,RDNP,220,2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Eveno Louis,PNDPH,213,2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Jean Andre Saint Louis,Unité,147,1.4,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,NORD,2006,Hidson NELSON,Alyans,"3,521",28.2,"5,290",50.6,,
Elections to the Chamber of Deputies,,NORD,2006,Ramy Dorvil,Adebha,"2,754",22.1,"5,167",49.4,,
Elections to the Chamber of Deputies,,NORD,2006,Appolos Marcelin,Mochrenha,"1,195",9.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Belande Delince,Konba,"1,082",8.7,,,,
Elections to the Chamber of Deputies,,NORD,2006,Edlin Backer,Lespwa,"1,033",8.3,,,,
Elections to the Chamber of Deputies,,NORD,2006,Gabriel Mompremier,Fusion,900,7.2,,,,
Elections to the Chamber of Deputies,,NORD,2006,Sharus V Sam Azemar,MIRN,822,6.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Lucène Noel,Tet Ansanm,181,1.5,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,NORD,2006,Bener SISSOIR,MPH,"3,444",25,"4,724",65.9,,
Elections to the Chamber of Deputies,,NORD,2006,Wilgy Pierre,Lespwa,"2,072",15.1,"2,441",34.1,,
Elections to the Chamber of Deputies,,NORD,2006,Pierre Antoine Chery,Adebha,"1,699",12.4,,,,
Elections to the Chamber of Deputies,,NORD,2006,Hermogene Daniel,Fusion,"1,502",10.9,,,,
Elections to the Chamber of Deputies,,NORD,2006,Sonthonax Robillard,OPL,"1,479",10.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Harrold Chery,Modereh,"1,460",10.6,,,,
Elections to the Chamber of Deputies,,NORD,2006,Bernard Joasil,Konba,523,3.8,,,,
Elections to the Chamber of Deputies,,NORD,2006,Josué Jean,Alyans,507,3.7,,,,
Elections to the Chamber of Deputies,,NORD,2006,Raymond Bell,JPD,236,1.7,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,,NORD,2006,,,,,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,NORD EST,2006,Miolin Charles PIERRE,Lespwa,"3,754",25.5,"5,448",54.6,,
Elections to the Chamber of Deputies,,NORD EST,2006,Kenty Moreau,Alyans,"2,296",15.6,"4,532",45.4,,
Elections to the Chamber of Deputies,,NORD EST,2006,Gerald Jean,Fusion,"2,182",14.8,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Bilgot Colas,OPL,"2,159",14.6,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Renaud Honore,Union,"1,299",8.8,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Odin Saint-Ruste,Adebha,"1,037",7,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Jacques E Davilmar,Mochrena,547,3.7,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Rony Paul,Konba,302,2.1,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Wilkice Pierre Louis,MPH,234,1.6,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Lucius Jean Louis,Tet Ansanm,220,1.5,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,MONT-ORGANISE - CAPOTILLE,NORD EST,2006,Ronald LARECHE,Fusion,"3,344",42.1,"4,213",72.2,,
Elections to the Chamber of Deputies,,NORD EST,2006,Absalon Antoine,Alyans,"1,579",19.9,"1,620",27.8,,
Elections to the Chamber of Deputies,,NORD EST,2006,Corinthe Augustin,OPL,992,12.5,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Jean Elie,FRN,572,7.2,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Verdieu Bien-Aime,Konba,438,5.5,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Saul Eugene,RDNP,232,2.9,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Joanis Dezamour,Frontciph,214,2.7,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,OUANAMINTHE,NORD EST,2006,Joseph SAINTILMA,Fusion,"7,694",45.1,"9,077",76.5,,
Elections to the Chamber of Deputies,,NORD EST,2006,Lukcé Joseph,Alyans,"2,082",12.2,"2,780",23.5,,
Elections to the Chamber of Deputies,,NORD EST,2006,Lapierre Auguste,Lavalas,"1,947",11.4,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Hebderson Pierre,Konba,"1,684",9.9,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Tany Etizard,OPL,"1,358",8,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Michel-Ange Patrice,Mochrena,533,3.1,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Guimpsly Joseph,Adebha,484,2.8,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Samuel Pierre,Tet Ansanm,257,1.5,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Codrus Manigat,RDNP,216,1.3,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,SAINTE SUZANNE,NORD EST,2006,Pierrogene Davilmar,Lespwa,"1,726",27.6,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Sadrac Pierre,Lavalas,"1,160",18.5,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Milius Pierre,Fusion,"1,124",18,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Parvilus Philippe,MPH,904,14.4,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Winel Jean Francois,Alyans,453,7.2,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Milien Soly,Pont,340,5.4,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,NORD EST,2006,Enos PIERRE,Alyans,"1,777",24.3,"5,228",62.2,,
Elections to the Chamber of Deputies,,NORD EST,2006,Arincks Jean Pierre,Konba,"1,567",21.5,"3,178",37.8,,
Elections to the Chamber of Deputies,,NORD EST,2006,Frantz Jean Francois,MPH,954,13.1,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Robenise J Robert,Lespwa,920,12.6,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Claudy Angrand,OPL,691,9.5,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Gerald Pierre,Pont,637,8.7,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Estève Riviere,Mochrena,195,2.7,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Rolin Pierre Louis,MIRN,184,2.5,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Ronald Th Riviere,JPD,100,1.4,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Abner Fonrose,Tet Ansanm,75,1,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,NORD EST,2006,Donal DORSAINVIL,Fusion,"3,114",24.3,"5,716",59.1,,
Elections to the Chamber of Deputies,,NORD EST,2006,Fritz Gérald Rozefort,Pont,"2,134",16.7,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Wanique Pierre,Alyans,"2,099",16.4,"3,954",40.9,,
Elections to the Chamber of Deputies,,NORD EST,2006,Jean Claude Francois,Adebha,"1,289",10.1,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Rose Marla Seide,Lavalas,"1,241",9.7,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Bellevue Louis,OPL,"1,108",8.7,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Etienne Mallew,JPD,818,6.4,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Raynold Pierre,Lespwa,330,2.6,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Girard R Jean Francois,RDNP,149,1.2,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,VALLIERES - CARICE - MOMBIN CROCHU,NORD EST,2006,Jn Berthold BASTIEN,Fusion,"3,460",31.8,"5,634",63.1,,
Elections to the Chamber of Deputies,,NORD EST,2006,Audate Antoine,Konba,"1,904",17.5,"3,291",36.9,,
Elections to the Chamber of Deputies,,NORD EST,2006,Antoine Alexis,Mochrena,"1,755",16.1,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Joseph Celigny Celicourt,MPH,"1,119",10.3,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Accilus Philosias,Alyans,"1,008",9.3,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Rochenel Pierre,Tet Ansanm,837,7.7,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,Erisnor Jean,Greh,208,1.9,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,,NORD EST,2006,,,,,,,,
Elections to the Chamber of Deputies,BAIE DE HENNE - BOMBARDOPOLIS,NORD OUEST,2006,Vasco Thernelan,OPL,"2,633",35.7,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Nonciles Valbrun,RDNP,"1,939",26.2,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Amos Delisnor,Union,"1,528",20.7,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Gasby Jacques,Alyans,367,5,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Wilson Pierre,Lespwa,243,3.3,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Gracia Imonel,Tet Ansanm,195,2.6,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Jean Saimbre,Mochrenah,66,0.9,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Rock Exéus,MIRN,48,0.7,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,BASSIN BLEU - CHANSOLME,NORD OUEST,2006,Denis ST FORT,Alyans,"3,991",38.5,"4,420",55.8,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,M Tatoune Pierre,MIRN,"3,968",38.2,"3,497",44.2,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Gerard Beralus,MPH,"1,281",12.3,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,P Frandzy Charles,Tet Ansanm,357,3.4,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Mazard Jerome,MUP,301,2.9,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,JEAN RABEL,NORD OUEST,2006,Theramène GERARD,Konba,"4,669",22.7,"7,585",58.2,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Joseph André,MIRN,"3,752",18.3,"5,447",41.8,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Théodile Cinor,Fusion,"3,256",15.9,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Jn Michel Richardson,OPL,"1,857",9,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Claude S H Petit,RDNP,"1,839",9,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Michelet Augustin,Tet Ansanm,"1,193",5.8,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Ilfra Dumisson,Lespwa,"1,078",5.3,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,A E Vladimir Ligondé,FRN,743,3.6,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Elistene Olistine,Adebah,607,3,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Dady Hyacinthe,Alyans,385,1.9,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Wilfrid Cyla,Mochrenah,125,0.6,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,LA TORTUE,NORD OUEST,2006,Acilus Gros-Negre,OPL,"1,870",31,"1,532",36.8,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,M Antoine FRANÇOIS,Fusion,"1,819",30.2,"2,634",63.2,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Denex Frederick,JPD,"1,109",18.4,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Hubert Jadotte,Lespwa,636,10.6,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Rolin Joseph,RDNP,493,8.2,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,MÔLE ST NICOLAS,NORD OUEST,2006,Eloune DOREUS,OPL,"2,433",31.6,"3,580",52.1,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Yves Dupras,Konba,"1,493",19.4,"3,293",47.9,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Alexis Elisca,Fusion,948,12.3,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,A Vernest Lavaud,MPH,874,11.3,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Johnson Beauplan,Pont,643,8.3,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Wilneau Charles,MIRN,362,4.7,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Frantz Levasseur,RDNP,330,4.3,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Lamenais Jean,Modereh,279,3.6,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,PORT-DE-PAIX,NORD OUEST,2006,F Lucas SAINVIL,Lespwa,"6,053",20.2,"9,285",66.1,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,L Amyot François,Pont,"5,901",19.7,"4,760",33.9,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Leslie Gelin,OPL,"5,837",19.5,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Dumesle Elines,RDNP,"3,237",10.8,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Jn Marie Jean Louis,MIRN,"3,192",10.7,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Lesly Charles,JPD,"2,313",7.7,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Clavel Gelin,Fusion,"1,298",4.3,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,Lifort Deshommes,Alyans,952,3.2,,,,
Elections to the Chamber of Deputies,,NORD OUEST,2006,,,,,,,,
Elections to the Chamber of Deputies,SAINT LOUIS NORD - ANSE-A-FOLEUR,NORD OUEST,2006,A Clovel RICHMOND,MIRN,"4,571",21.4,"19,644",71.9,,
